cultivar,well,target,sample,cycle_start,cycle_end,slope,r2,efficiency
melona,D01,CmACS,M.15.B,31,35,0.3109983991825076,0.999376255142784,2.0464370935057974
melona,D02,CmACS,M.30.C,24,28,0.2775187948356792,0.9994718097869357,1.894605504872521
melona,D03,CmACO,M.15.A,23,27,0.3011403620348482,0.9970073999454858,2.0005083205071434
melona,D04,CmACO,M.30.B,16,20,0.35127562986362043,0.9967143617394841,2.245306480618851
melona,D05,CmACO,M.M.C,18,22,0.30577182077438914,0.9889395357570382,2.021956559362636
melona,D06,CmATH,M.30.A,20,24,0.3061395571268842,0.9992553178025536,2.0236693644913
melona,D07,CmATH,M.M.B,19,23,0.30864920771631327,0.9987921436015526,2.035397363906952
melona,D08,CmEREBP,M.15.C,24,28,0.3010664162162098,0.9986645265241934,2.0001677298742147
melona,D09,CmEREBP,M.M.A,17,21,0.30158767052702184,0.996845875969301,2.002569837255711
melona,D10,CmCYP,M.15.B,19,23,0.281018724901046,0.9977396219994128,1.9099356049595904
melona,D11,CmCYP,M.30.C,15,19,0.29792291485517114,0.9997945925269197,1.985742426514357
melona,E01,CmACS,M.15.C,32,36,0.279695757420081,0.9996212706498266,1.9041263255274314
melona,E02,CmACS,M.M.A,16,20,0.3446203722793961,0.9987415572567995,2.2111610331648386
melona,E03,CmACO,M.15.B,21,25,0.3127803540234783,0.9988950164884857,2.054851084904558
melona,E04,CmACO,M.30.C,17,21,0.3079739293968373,0.997793353509378,2.0322350126492887
melona,E05,CmATH,M.15.A,23,27,0.2911884215146572,0.9983871266363038,1.9551875427507026
melona,E06,CmATH,M.30.B,20,24,0.29384495143437295,0.9990880159402857,1.9671838550679854
melona,E07,CmATH,M.M.C,21,25,0.295843012822894,0.9974957815414998,1.976255141519274
melona,E08,CmEREBP,M.30.A,19,23,0.26979823640870315,0.998002506841196,1.861222253165848
melona,E09,CmEREBP,M.M.B,14,18,0.35208439181523316,0.999384642085781,2.2494916830977063
melona,E10,CmCYP,M.15.C,19,23,0.2778494395545346,0.996955957632844,1.8960484885110498
melona,E11,CmCYP,M.M.A,16,20,0.26921883180541983,0.9982087205959584,1.858740799351914
melona,F01,CmACS,M.15.C,32,36,0.279695757420081,0.9996212706498266,1.9041263255274314
melona,F02,CmACS,M.M.A,18,22,0.3059164365184075,0.9985820451280459,2.022629962903473
melona,F03,CmACO,M.15.B,20,24,0.339334790644519,0.998607447366465,2.1844131920169008
melona,F04,CmACO,M.30.C,18,22,0.28235872412017815,0.9974425397617829,1.9158377398486572
melona,F05,CmATH,M.15.A,23,27,0.2874943301480931,0.9987193970301067,1.9386273263937122
melona,F06,CmATH,M.30.B,18,22,0.3531183106430142,0.9986770831972114,2.2548533963809385
melona,F07,CmATH,M.M.C,22,26,0.2805026744414107,0.9939770391778588,1.9076674716161315
melona,F08,CmEREBP,M.30.A,17,21,0.30494892657537365,0.9993003709900045,2.0181290159245924
melona,F09,CmEREBP,M.M.B,16,20,0.31861529404695726,0.9986176335183242,2.08264522073194
melona,F10,CmCYP,M.15.C,18,22,0.2902988449965194,0.9986203902531757,1.9511867808263412
melona,F11,CmCYP,M.M.A,14,18,0.30218055239750047,0.9998031011918661,2.005305534319481
melona,G01,CmACS,M.30.A,23,27,0.28549910128476874,0.9995940920344115,1.9297413428399617
melona,G02,CmACS,M.M.B,14,18,0.31145200726944855,0.9992361891086629,2.048575654790003
melona,G03,CmACO,M.15.C,25,29,0.2958439930600753,0.999031545679774,1.9762596020893166
melona,G04,CmACO,M.M.A,16,20,0.2910811395743899,0.9981866695252549,1.9547046206403949
melona,G05,CmATH,M.15.B,23,27,0.32354081845430943,0.9991106331382735,2.10639986592348
melona,G06,CmATH,M.30.C,19,23,0.3014985154461685,0.9990442395188143,2.002158777574924
melona,G07,CmEREBP,M.15.A,22,26,0.28541173295491545,0.9974573459627776,1.9293531700041955
melona,G08,CmEREBP,M.30.B,18,22,0.28573804907363015,0.9978756835085965,1.9308033740642496
melona,G09,CmEREBP,M.M.C,16,20,0.3132714769447171,0.998719791069518,2.0571761324104734
melona,G10,CmCYP,M.30.A,17,21,0.2883427630013685,0.9963608509938204,1.9424183089090434
